Vehicle ID,Timestamp,Latitude,Longitude,Heading,Pattern ID,Route,Destination,Distance,Delay
7969,20240419 23:29,41.84235382080078,-87.61714935302734,353,18414,3,Michigan/Chicago,47216,false
7977,20240419 23:30,41.89664649963379,-87.62041015625,162,18414,3,Michigan/Chicago,69557,false
7973,20240419 23:30,41.880533599853514,-87.62445831298828,192,18415,3,95th Red Line,8422,false
7963,20240419 23:30,41.870810606041736,-87.62422662851762,173,18415,3,95th Red Line,11975,false
1206,20240419 23:30,41.838329152858,-87.61747741699219,181,18415,3,95th Red Line,25194,false
7920,20240419 23:30,41.82343145517203,-87.6170425415039,178,18415,3,95th Red Line,30641,false
8458,20240419 23:29,41.720493409691784,-87.62055969238281,179,18415,3,95th Red Line,69945,false
8405,20240419 23:44,41.85306930541992,-87.62002337420428,268,18414,3,Michigan/Chicago,51418,false
7969,20240419 23:44,41.878153183880976,-87.62420624377681,356,18414,3,Michigan/Chicago,61765,false
7977,20240419 23:45,41.89377212524414,-87.61985778808594,182,18415,3,95th Red Line,0,false
7973,20240419 23:45,41.85374984741211,-87.62385330200195,174,18415,3,95th Red Line,18243,false
7963,20240419 23:44,41.836177825927734,-87.61746978759766,178,18415,3,95th Red Line,25975,false
1206,20240419 23:44,41.78584289550781,-87.61581420898438,180,18415,3,95th Red Line,44368,false
7920,20240419 23:45,41.776773233882714,-87.61563873291016,180,18415,3,95th Red Line,47686,false
8458,20240419 23:44,41.719784612241,-87.62365357772164,358,18415,3,95th Red Line,74098,false
8405,20240419 23:59,41.888945770263675,-87.62425231933594,12,18414,3,Michigan/Chicago,65715,false
7969,20240419 23:59,41.89377212524414,-87.61985778808594,175,18415,3,95th Red Line,0,false
7977,20240420 00:00,41.88700866699219,-87.62462130459872,177,18415,3,95th Red Line,6058,false
7973,20240420 00:00,41.808599560077376,-87.61658559945913,178,18415,3,95th Red Line,36057,false
7963,20240420 00:00,41.77317934903232,-87.61556243896484,178,18415,3,95th Red Line,48993,false
7920,20240419 23:59,41.721858978271484,-87.61897759688527,268,18415,3,95th Red Line,69017,false
8458,20240419 23:59,41.719784612241,-87.62365357772164,358,18415,3,95th Red Line,74098,true
8405,20240420 00:14,41.89400568008423,-87.61989269256591,177,18414,3,Michigan/Chicago,70616,false
7969,20240420 00:14,41.895557975769044,-87.6243465423584,177,18415,3,95th Red Line,2926,false
7977,20240420 00:14,41.867211151123044,-87.62419128417969,180,18415,3,95th Red Line,13303,false
7973,20240420 00:14,41.76346154048525,-87.61525923630288,178,18415,3,95th Red Line,52553,false
7963,20240420 00:15,41.71876796599357,-87.62052154541016,180,18415,3,95th Red Line,70572,false
8458,20240420 00:14,41.719784612241,-87.62365357772164,358,18415,3,95th Red Line,74098,true
7969,20240420 00:29,41.871843338012695,-87.62425231933594,176,18415,3,95th Red Line,11600,false
7977,20240420 00:29,41.83509362262228,-87.61739349365234,181,18415,3,95th Red Line,26372,false
7973,20240420 00:29,41.719270165286844,-87.62356749577309,355,18415,3,95th Red Line,73907,false
7963,20240420 00:29,41.7198256617007,-87.62365606556769,357,18415,3,95th Red Line,74113,true
8405,20240420 00:45,41.8733714132598,-87.62429809570312,180,18415,3,95th Red Line,11044,false
7969,20240420 00:45,41.831560134887695,-87.6173095703125,181,18415,3,95th Red Line,27661,false
7977,20240420 00:44,41.78573555781924,-87.61581420898438,180,18415,3,95th Red Line,44407,false
8405,20240420 00:59,41.82984500461154,-87.61711883544922,175,18415,3,95th Red Line,28296,false
7969,20240420 00:59,41.77377192179362,-87.61556243896484,178,18415,3,95th Red Line,48779,false
7977,20240420 01:00,41.73977613449097,-87.61465454101562,178,18415,3,95th Red Line,61208,false
8405,20240420 01:14,41.769308253696984,-87.6154292515346,178,18415,3,95th Red Line,50421,false
7969,20240420 01:15,41.72190475463867,-87.6158676147461,268,18415,3,95th Red Line,68170,false
1243,20240420 04:30,41.760005950927734,-87.61506652832031,358,1054,3,Michigan/Chicago,3153,false
1442,20240420 04:44,41.75138854980469,-87.6148452758789,351,1054,3,Michigan/Chicago,0,false
1243,20240420 04:44,41.80991120771928,-87.61653497869318,358,1054,3,Michigan/Chicago,21462,false
1442,20240420 04:59,41.80798159147564,-87.61648077713816,358,1054,3,Michigan/Chicago,20747,false
1243,20240420 05:00,41.855916938003226,-87.62387707768654,359,1054,3,Michigan/Chicago,39653,false
8544,20240420 05:15,41.77326321601868,-87.61538982391357,356,1054,3,Michigan/Chicago,8005,false
1442,20240420 05:05,41.82949723868534,-87.6170012375404,359,1054,3,Michigan/Chicago,28627,false
1243,20240420 05:15,41.89066747716955,-87.62407684326172,1,1054,3,Michigan/Chicago,52476,false
7911,20240420 05:30,41.76897048950195,-87.6152572631836,359,1054,3,Michigan/Chicago,6439,false
8544,20240420 05:29,41.826077052525115,-87.61692701067243,358,1054,3,Michigan/Chicago,27375,false
1442,20240420 05:30,41.88257677801724,-87.62420654296875,359,1054,3,Michigan/Chicago,49511,false
1243,20240420 05:29,41.89389633178711,-87.61987335205077,177,18415,3,95th Red Line,0,false
7945,20240420 05:44,41.75879835471129,-87.61505126953125,355,1054,3,Michigan/Chicago,2713,false
7911,20240420 05:45,41.82071633174502,-87.61680524102573,358,1054,3,Michigan/Chicago,25415,false
8544,20240420 05:44,41.86454709370931,-87.6240463256836,359,1054,3,Michigan/Chicago,42831,false
1442,20240420 05:45,41.89377212524414,-87.61985778808594,176,18415,3,95th Red Line,0,false
1243,20240420 05:44,41.87514721263539,-87.62433566469134,182,18415,3,95th Red Line,10394,false
7945,20240420 06:00,41.81044478914631,-87.61653137207031,359,1054,3,Michigan/Chicago,21659,false
7911,20240420 05:59,41.855916938003226,-87.62387707768654,357,1054,3,Michigan/Chicago,39653,false
8544,20240420 05:59,41.89624331074376,-87.62421171126827,358,1054,3,Michigan/Chicago,54464,false
1250,20240420 06:00,41.74237111789077,-87.61466866108908,357,18414,3,Michigan/Chicago,10571,false
1442,20240420 06:00,41.89429970507352,-87.62431335449219,179,18415,3,95th Red Line,3383,false
1243,20240420 06:00,41.83834019113094,-87.61747741699219,177,18415,3,95th Red Line,25190,false
7945,20240420 06:14,41.852966000956876,-87.62099825951361,266,1054,3,Michigan/Chicago,37829,false
7911,20240420 06:14,41.890625721699486,-87.62407684326172,1,1054,3,Michigan/Chicago,52460,false
1261,20240420 06:14,41.72222900390625,-87.6141586303711,357,18414,3,Michigan/Chicago,3218,false
1250,20240420 06:14,41.79326248168945,-87.61586380004883,358,18414,3,Michigan/Chicago,29233,false
1442,20240420 06:15,41.855662401984716,-87.6238784790039,178,18415,3,95th Red Line,17546,false
1243,20240420 06:15,41.78898683312821,-87.61588998036842,175,18415,3,95th Red Line,43215,false
7945,20240420 06:29,41.88933016459147,-87.62416203816731,12,1054,3,Michigan/Chicago,51986,false
1297,20240420 06:29,41.73215103149414,-87.61438751220703,358,18414,3,Michigan/Chicago,6844,false
1261,20240420 06:29,41.77208983898163,-87.61540222167969,359,18414,3,Michigan/Chicago,21448,false
1250,20240420 06:30,41.83848008113121,-87.61704276924702,357,18414,3,Michigan/Chicago,45793,false
7911,20240420 06:29,41.89377212524414,-87.61985778808594,171,18415,3,95th Red Line,0,false
1442,20240420 06:29,41.809344448260404,-87.61663522293318,179,18415,3,95th Red Line,35784,false
1243,20240420 06:30,41.7506614312893,-87.61497497558594,177,18415,3,95th Red Line,57227,false
8565,20240420 06:44,41.73639442180765,-87.61451010868467,0,18414,3,Michigan/Chicago,8391,false
1261,20240420 06:44,41.826063428606304,-87.61692564828056,358,18414,3,Michigan/Chicago,41241,false
1250,20240420 06:45,41.87184682385675,-87.62410617696828,358,18414,3,Michigan/Chicago,59467,false
